name,gridid,sector,status_name,product_type,asset_type,logo_url
Circle,1194,Payments,Active,Stablecoin Issuance,"Stablecoin, Stablecoin",https://img.thegrid.id/upload/e10ca2aaa006d641a7ddb17486fef62a982dfdabf90df17959de560a0843ea08.svg
EUROe,1195,Payments,Active,Stablecoin Issuance,Stablecoin,https://img.thegrid.id/upload/daaf31165344d8e79fa36feb9800147b252aa4af55edc770e848d09b83e86884.svg
Orion Tools,1196,Developer Tooling,Active,NFT Issuance Platform,N/A,https://img.thegrid.id/upload/299c816ddec5bc32130fc5bc23b0fc009b9359bef37b98a2bacae81e92ffb9e6.png
Ondo,1200,Finance,Active,RWA Tokenisation Platform,"Stablecoin, Security",https://img.thegrid.id/upload/8d21e4b4737d21a4df51a399dbf88106abd80aab6ef256781e717d64c00c7b03.svg
Coinbase,1202,Finance,Active,Centralised Exchange,N/A,https://img.thegrid.id/upload/fd39498ad8078bd7360c24a4c1af12ccfdb3f4b213858d6116a5ffe79def1d46.svg
BitGo,1203,Asset Management,Active,Custodian,N/A,https://img.thegrid.id/upload/21712baf3af499e14f5e3114ba1b7953dce393bcd2dff65de2c3712b77f87c02.svg
Teleport,1205,Payments,Active,Transport,N/A,https://img.thegrid.id/upload/78854dff48d6f67ac4c94016d87a66506c80f0b149ec348d385c600299b3ce4b.svg
Dialect,1210,Developer Tooling,Active,Developer Tooling,N/A,https://img.thegrid.id/upload/0cccb0d872b3974de7e1030f09d03421e9a3966192c41855cb3e2911fffed314.svg
ISC,1211,Finance,Active,Stablecoin Issuance,Stablecoin,https://img.thegrid.id/upload/fe2657fd615a9be60ba8826acd3d20db3befe3ee5e8a0ccce1df0758a3dd5173.svg
Sanctum,1212,Finance,Active,Liquid Staking,"Governance, -",https://img.thegrid.id/harvest/d4dc9d0a0e6a31db8d94ed9267500e0bbd602e6cd60ef063d3b798782ba44c98.svg
Genopets,1213,Gaming,Active,Game,"Governance, Utility",https://img.thegrid.id/upload/e9cdb33ce2700baa8fbf79043245ea39420822f89f0ade2fb6f954c246358a2a.png
Reclaim Protocol,1216,Data & Analytics,Active,Decentralised Identity,N/A,https://img.thegrid.id/upload/a3eaa121a6523a11ae133922af98d3574a686c7dc28a20d13685d0fdb818194c.svg
Triton One,1218,Developer Tooling,Active,RPC Provider,N/A,https://img.thegrid.id/upload/6559f5ce52043880c4f2e23c5e223aae028fa2af887cbc00b1678bf3a83a356c.svg
Koii Network,1219,Infrastructure,Active,"DePin, L1",Utility,https://img.thegrid.id/upload/8b7a75c0e75eba9c274675881dc105ce8b020623cf0fd56303e2e215a78c64a8.svg
Moralis,1220,Data & Analytics,Active,N/A,N/A,https://img.thegrid.id/upload/f7e2d1dfd3a0545373f57184043c78b5b8ebe92971640c54f35a344ea8c8df5e.svg
DEX Screener,1221,Data & Analytics,Active,Digital Assets Terminal,N/A,https://img.thegrid.id/upload/6b0838897857262134f7a953b6665fd8848965c8275aac936e6a10e6f873bb57.png
Taiyo Robotics,1225,NFTs,Active,Game,"NFT, NFT, NFT, Utility, NFT, NFT, Utility, NFT",https://img.thegrid.id/upload/9a71f761d47efcf5c256c2c6f62fa6682de26fc5921795f8be30823c563f963d.svg
Streamflow,1226,Payments,Active,FinOps Tooling,N/A,https://img.thegrid.id/upload/634fc91e8bd3fa0ebbf3ba58d1f9d0dd0ab6fe0cac85d7e8326a8c1b9a91b7d1.svg
The Backwoods,1227,Gaming,Active,Game,"-, -, NFT",https://img.thegrid.id/upload/ba47e5eb08e1b791fb225ce945b53dd04238d38348a304e27682e5bc1391e965.svg
Nyan Heroes,1229,Gaming,Announced,Game,"Utility, Utility, NFT",https://img.thegrid.id/upload/5c2c0bd8df48ef8b475dd56af53e057d98d69d4192caaffd545a0967fc3ddcc3.svg
Kamino Finance,1230,Finance,Active,Decentralised Borrowing & Lending,Utility,https://img.thegrid.id/harvest/cf76e8049d9f859c89ba9d7fb6c3771cc8dfdf682c38b7a19522f1d17d4842ae.png
Assisterr AI,1231,Developer Tooling,Active,Developer Tooling,N/A,https://img.thegrid.id/upload/7ad2dd0efd7afa35b055cec76aeabf01b16cdc3672e361e4b3e01b662622d8fc.png
Degen Coin Flip,1233,Gaming,Active,Gambling/Casino,NFT,https://img.thegrid.id/upload/12c6cdbc92272ae86ff96ee39b060f4563eb70a16d28d3e2f932a7a374504200.png
Honeyland,1235,Gaming,Active,Game,"Utility, NFT",https://img.thegrid.id/upload/2889a3e311369dc9bf44a144395be4d3b16d4d3dcfac8e33bb2f5c33880133cb.png
FluxBeam,1236,Finance,Active,Decentralised Exchange,Utility,https://img.thegrid.id/upload/ab39a232a6b4e0535452f8f5ffd1aee0b5cb36338739660395f4e5823fc0b89b.svg
Claim Your Sol,1237,Asset Management,Active,Dust Collector,N/A,https://img.thegrid.id/upload/24346a7421891871dd348ed6847211b56a23136a3fec54da8b84b4de97e7e9bf.png
Gummy on Sol,1238,Meme,Active,N/A,"Currency, Currency",https://img.thegrid.id/upload/3a40eb242f8536cb158453296ad2dde1bb68d09fed90f9c1299ee7bc62cc95bb.png
Sniper,1239,NFTs,Active,NFT Marketplace,N/A,https://img.thegrid.id/upload/bb239228b263005f3dc0faf190a0e31e6ee9a7d58d719674e643d0098631d3e0.svg
PinkSale,1241,Finance,Active,Launch Pad,Utility,https://img.thegrid.id/upload/844e49c53163a48a618c36cadd351280450b5a37c8d261251de232fdb0daac82.png
Bonk Rewards,1242,Finance,Active,Pool Software,N/A,https://img.thegrid.id/upload/a4b155f1039a964e7af1619b195e11d116b3aa06102cc99c3bca23f0e295f3ff.png
Solcasino.io,1243,Gaming,Active,Gambling/Casino,Utility,https://img.thegrid.id/upload/537a0e7b3a75a232e7374247506edc3c95b11369313fafe9818e0d6d51ad4a4d.svg
Pixiz,1244,Gaming,Active,Game,"Utility, Utility, NFT, NFT, NFT, NFT",https://img.thegrid.id/upload/ae19256e9cbbea66f1a60d18038ac2f4b8e681bbb7e8b51d601eac099f053aad.svg
Holdium,1245,Meme,Active,N/A,Memecoin,https://img.thegrid.id/upload/a9d99d594ce162799d283b347d94bc2669085de6b7b06b8a0bad3d0d691e2c6e.svg
Famous Foxes,1247,NFTs,Active,NFT Marketplace,"Currency, NFT, NFT, NFT, NFT",https://img.thegrid.id/upload/e02936cec11dc45da7903012046f2e93754b93fe4a89e0b639a63b25918e3833.png
Aethir,1248,Infrastructure,Active,DePin,N/A,https://img.thegrid.id/upload/705cae114628794fdc234440f532f8ac21000aedba7cab573c4bdb89b588e88d.svg
Flash Trade,1249,Finance,Active,Decentralised Exchange,NFT,https://img.thegrid.id/upload/186d2449f7228496dc4f815221d71fcff8076660503b2a40d5f1c49a4740c410.svg
MEMEPad,1250,Meme,Active,Launch Pad,Utility,https://img.thegrid.id/upload/8fd8d83433e2520637d806bd70e38ebe7af87604ab1a1d0091238a9b87961277.svg
LaunchMyNFT,1251,NFTs,Active,NFT Issuance Platform,N/A,https://img.thegrid.id/upload/b5436e2b7dda0308452c18ed49dbb783b528e6728c9f1bfbf7d32d4fb5cd2031.svg
Stoned Ape Crew,1252,NFTs,Active,N/A,"NFT, Utility, NFT",https://img.thegrid.id/harvest/c088ce41d7b3d0d3aa9f1fc7ead4c48d7d8ac42f28e093a29ef82ef4ba547c4d.png
Mango Markets,1253,Finance,Active,Decentralised Exchange,Governance,https://img.thegrid.id/upload/22fb8328b5115ca82b589311ad81c93e01a324c9d12156d6f59c58e8ff916a5d.svg
Dexlab,1254,Finance,Active,Decentralised Exchange,Utility,https://img.thegrid.id/upload/0e81feb20a4037a71ad81b0be1695e9224916b2111d574f2a301b2b512c32cc5.svg
Tillarys,1257,NFTs,Active,Game,"NFT, Utility",https://img.thegrid.id/upload/126f892a6a21f2a9cf1569aaad22af56c17cdb66b68a71928e367eb3e8b6dc4d.svg
Sol Asset Recovery,1258,Asset Management,Active,Dust Collector,N/A,https://img.thegrid.id/upload/9dc15d4a9fc98399a684dd17d39f7097fc2e373b6fa654786522bf9088238d3b.svg
Coconut Miner,1259,Finance,Active,Yield Aggregator,N/A,https://img.thegrid.id/upload/aa13e54704dc0fdd2209a1a067a05297ec711061d86b0f7ea76b51b7ca5742de.png
Sollong,1260,Infrastructure,Active,DePin,Utility,https://img.thegrid.id/upload/84d85da809d160c2bd9abe16944f8675a4a041eaaaf85b3fffc42aa9aa45ed06.svg
Slotana,1261,Gaming,Active,Gambling/Casino,Utility,https://img.thegrid.id/upload/d4f5d6379edf10125f94e314d31788f70d7d91d6cca7afcb4ec360dd552de1f0.svg
Zealy,1262,Social,Active,Social Platform,N/A,https://img.thegrid.id/upload/a0cab0e985227679eed030fd684fc21cf44fdc907ffe832512e183eccee1be84.svg
