name,gridid,sector,product_type,deployment_type,product_ids,url,admin_url,has_main_product,logo_url
Solana ID,1314,Infrastructure,Decentralised Identity,Deployed,22,https://explorer.thegrid.id/profiles/Solana_ID,https://data.thegrid.id/app/dashboard#profile=1314,Yes,https://img.thegrid.id/upload/2b53dfbf34d60390566fd95ca0f361e2c23a6ad984324161cfa9f8821203e61c.svg
375ai,1315,Infrastructure,DePin,Deployed,22,https://explorer.thegrid.id/profiles/375ai,https://data.thegrid.id/app/dashboard#profile=1315,Yes,https://img.thegrid.id/upload/2191dfcae743281a797783084e244ec2d1daf90ce389478979e3faea11fea2c1.svg
Infinex,1316,Asset Management,Wallet,Supported,22,https://explorer.thegrid.id/profiles/Infinex,https://data.thegrid.id/app/dashboard#profile=1316,Yes,https://img.thegrid.id/upload/b2300438b9b360e506842e8b795c3f71c6249f7dd9262ee2b77c3238f425fb6a.svg
Renzo,1317,Infrastructure,Liquid Staking,Supported,22,https://explorer.thegrid.id/profiles/Renzo,https://data.thegrid.id/app/dashboard#profile=1317,Yes,https://img.thegrid.id/upload/8ddf61ea354be337c88134a88fbd4214510a47b849d41c6b5508de7208746de2.svg
gmAI,1318,Infrastructure,ASSETS,Deployed,22,https://explorer.thegrid.id/profiles/gmAI,https://data.thegrid.id/app/dashboard#profile=1318,No,https://img.thegrid.id/upload/8def7a1eba66f1a43cfab9e220c1e896386f675877d63072884dbdf790faa8f9.svg
Smort,1319,Finance,Prediction Markets,Deployed,22,https://explorer.thegrid.id/profiles/Smort,https://data.thegrid.id/app/dashboard#profile=1319,Yes,https://img.thegrid.id/upload/4dc723de353640cf76d7f863217f68a94c079af881768dfeeec13fdf8b9c6696.svg
CoinGecko,1321,Data & Analytics,Digital Assets Terminal,Supported,22,https://explorer.thegrid.id/profiles/CoinGecko,https://data.thegrid.id/app/dashboard#profile=1321,Yes,https://img.thegrid.id/upload/9a192e18bdc71a097372f9e202c0378d8bbc5915cfa2637870951849af93591c.png
Keystone,1323,Asset Management,Hardware Wallet,Supported,22,https://explorer.thegrid.id/profiles/Keystone,https://data.thegrid.id/app/dashboard#profile=1323,Yes,https://img.thegrid.id/upload/9b02c011237d02ca0aba4e617c0ccddfa4674358f5f8eed7755d58ecedb6a587.png
Truffle,1324,NFTs,NFT Issuance Platform,Supported,22,https://explorer.thegrid.id/profiles/Truffle,https://data.thegrid.id/app/dashboard#profile=1324,Yes,https://img.thegrid.id/upload/6f93261ccfac5c7495f30d2ea1b22850f87268b4add27e087749b5131a517325.svg
Wysdom,1330,Developer Tooling,Developer Tooling,Supported,22,https://explorer.thegrid.id/profiles/Wysdom,https://data.thegrid.id/app/dashboard#profile=1330,Yes,https://img.thegrid.id/upload/35b1ba02b19050c794c8839571ba90f0db5f44a5fa5390f52b64c60c3c7a4a68.svg
MixMob,1331,Gaming,Game,Deployed,22,https://explorer.thegrid.id/profiles/MixMob,https://data.thegrid.id/app/dashboard#profile=1331,Yes,https://img.thegrid.id/upload/351caf60e46a52f6656a75e4ee7e5110bed87a13d7b68242db9be07cf659f1ec.svg
WalletConnect,1333,Developer Tooling,Cross-chain Infrastructure,Supported,22,https://explorer.thegrid.id/profiles/walletconnect,https://data.thegrid.id/app/dashboard#profile=1333,Yes,https://img.thegrid.id/upload/8d4944b8515533cc2859ae75ef02c3afd7eef0f1155cb7bee08484554d2b2e8a.svg
Nansen,1335,Data & Analytics,Digital Assets Terminal,Supported,22,https://explorer.thegrid.id/profiles/Nansen,https://data.thegrid.id/app/dashboard#profile=1335,Yes,https://img.thegrid.id/upload/148264d92467eb55a9403a7440142f15cc87d77111934fe9b48fc6944a1cd55d.svg
Dune,1336,Data & Analytics,Digital Assets Terminal,Supported,22,https://explorer.thegrid.id/profiles/Dune,https://data.thegrid.id/app/dashboard#profile=1336,Yes,https://img.thegrid.id/upload/9edb146f35524dbc72dab43184bd0985e9cdc5eef95fd4c38d2a3b1eba940e9e.svg
Stripe,1337,Payments,On/Off Ramp,Supported,22,https://explorer.thegrid.id/profiles/stripe,https://data.thegrid.id/app/dashboard#profile=1337,No,https://img.thegrid.id/upload/692cbe60b3ccb747e16c52f360311c8dd265a9cca3b45490f13318955008e436.svg
Netrunner,1338,Finance,Digital Assets Terminal,Supported,22,https://explorer.thegrid.id/profiles/Netrunner,https://data.thegrid.id/app/dashboard#profile=1338,Yes,https://img.thegrid.id/upload/d4f7b2b93da78f8d605856d453822ce80d2f87f1cc36d264292ea0340193eae3.svg
Syndica,1339,Developer Tooling,RPC Provider,Supported,22,https://explorer.thegrid.id/profiles/Syndica,https://data.thegrid.id/app/dashboard#profile=1339,Yes,https://img.thegrid.id/upload/3af599ff022cc17d4170e10a8c6b6c34e313165ec56747979d2d41c0daf33594.png
Blockworks,1340,Media,News & Media,Supported,22,https://explorer.thegrid.id/profiles/blockworks,https://data.thegrid.id/app/dashboard#profile=1340,Yes,https://img.thegrid.id/upload/cd97c6213194cffabf34761d1707a9275f4132c4b34beb4aed7899919f11084d.svg
Chainlink,1341,Infrastructure,Oracle,Supported,22,https://explorer.thegrid.id/profiles/Chainlink,https://data.thegrid.id/app/dashboard#profile=1341,Yes,https://img.thegrid.id/upload/d4bcdea7c5387e3ac96409c928b39d4ec1a752ff76d1a8cafbd1f8cfbc3bb65b.svg
Crema Finance,1345,Finance,Pool Software,Deployed,22,https://explorer.thegrid.id/profiles/Crema_Finance,https://data.thegrid.id/app/dashboard#profile=1345,Yes,https://img.thegrid.id/upload/ebb24761ed6ea115fa80b18193bcdd2b1ae78dcfa1b0e3bf17f8a408a3e5a78e.png
